"","Longitude","Latitude","Date","Survey_Type"
"59856","W77.05193","N38.94348","03/18/16","Other"
"209766","W77.0323","N38.90516","05/01/19",""
"139990","W77.04757","N38.92299","05/06/16","random"
"149708","W77.01048","N38.92057","02/13/18",NA
"21638","W77.02451","N38.95329","08/12/08","Transect3"
"56670","W77.03136","N38.94433","11/07/98","transect"
"65482","W77.0616","N38.94202","04/04/20","Other"
"123332","W77.05817","N38.92723","02/08/89","Transect3"
"73778","W77.02451","N38.93996","11/13/16",NA
"17760","W77.03791","N38.95426","12/17/10","N/A"
"187603","W77.01438","N38.91086","02/22/10","otehr"
"84787","W77.00783","N38.93717","11/19/17",""
"30941","W77.05209","N38.95087","06/28/18","random"
"113686","W77.01017","N38.92978","03/07/10","otehr"
"73811","W77.03027","N38.95693","11/28/13","nontransect"
"95885","W77.05115","N38.93426","08/21/12","other"
"86584","W77.02326","N38.93669","11/26/10","otehr"
"5069","W77.04492","N38.93281","02/11/13","transect"
"52714","W77.05692","N38.9453","06/05/18","N/A"
"67313","W77.07173","N38.94154","09/28/19",NA
"153105","W77.07204","N38.9196","08/15/88","transect4"
"1489","W77.0217","N38.94942","02/06/16","transect"
"21565","W77.03588","N38.95329","10/23/17","random"
"138917","W77.06705","N38.92323","05/31/15","other"
"85372","W77.0644","N38.93693","03/20/15","nontransect"
"134915","W77.02591","N38.92432","01/31/08","transect"
"6230","W77.03401","N38.9282","11/14/15","transect"
"15971","W77.02123","N38.95475","11/23/10","Other"
"106779","W77.0524","N38.93148","03/08/83","transect1"
"125714","W77.0563","N38.92663","04/29/10","other"
"186883","W77.05271","N38.91099","08/01/16",NA
"159136","W77.01858","N38.91814","02/21/19","Other"
"30369","W77.06736","N38.95099","10/18/14","nontransect"
"106238","W77.06284","N38.9316","12/23/11","otehr"
"159060","W77.03043","N38.91814","02/05/85","first_transect"
"108091","W77.06954","N38.93111","07/21/13","N/A"
"115023","W77.02341","N38.92942","05/16/18","Other"
"163372","W77.02326","N38.91705","04/21/14","otehr"
"9751","W77.06004","N38.9128","12/03/16","first_transect"
"83130","W77.04445","N38.93754","08/03/14",""
"53383","W77.02653","N38.94517","03/19/19",""
"73046","W77.06471","N38.94008","02/20/11","opportunistic"
"185069","W77.03993","N38.91147","06/01/10","nontransect"
"127870","W77.01578","N38.92614","10/17/12","N/A"
"185818","W77.07095","N38.91123","02/03/18","opportunistic"
"98407","W77.02747","N38.93366","12/26/17",""
"106512","W77.02014","N38.9316","01/12/13","Other"
"50071","W77.0256","N38.94602","12/23/10","otehr"
"167984","W77.04321","N38.91584","03/01/89","transect"
"46765","W77.02373","N38.94687","05/11/12","otehr"
"50494","W77.03354","N38.9459","04/09/15","opportunistic"
"185646","W77.02388","N38.91135","02/04/18",""
"200004","W77.00238","N38.90771","03/08/16","other"
"187768","W77.06253","N38.91074","01/02/17","random"
"10660","W77.02232","N38.90771","09/18/12","transect"
"112692","W77.01734","N38.93002","01/15/14",NA
"44412","W77.02108","N38.94748","03/27/93","transect"
"9175","W77.03604","N38.91511","02/24/20","transect"
"51880","W77.03915","N38.94554","12/05/87","transect"
"152678","W77.06471","N38.91972","02/18/86","transect"
"68282","W77.06845","N38.9413","04/06/20","N/A"
"116553","W77.00658","N38.92905","04/27/20","other"
"11779","W77.0097","N38.95584","01/23/10","random"
"79995","W77.01593","N38.93839","06/20/01","Transect"
"54291","W77.039","N38.95742","04/07/81","transect"
"108594","W77.06502","N38.93099","03/06/04","transect"
"59552","W77.02544","N38.9436","02/09/17",""
"76210","W77.01484","N38.93936","09/04/19","opportunistic"
"179266","W77.05786","N38.91293","07/27/12","nontransect"
"43875","W77.03089","N38.9476","06/10/12","N/A"
"192437","W76.99973","N38.90965","12/09/13","nontransect"
"50831","W77.05489","N38.94578","01/04/91","transect4"
"177094","W77.027","N38.91353","08/15/12",""
"73179","W77.04399","N38.94008","12/21/02","Transect"
"121784","W77.00393","N38.92772","10/11/15","random"
"198422","W77.02731","N38.90808","02/03/17","random"
"176102","W77.03386","N38.91377","07/12/17","nontransect"
"78295","W77.05926","N38.93875","09/24/15","other"
"2833","W77.02856","N38.94287","03/16/14","transect"
"66935","W77.05676","N38.94166","03/10/12","N/A"
"181920","W77.0136","N38.91232","12/16/12","Other"
"1971","W77.01064","N38.94772","02/02/16","transect"
"150780","W77.06502","N38.9202","06/29/11",NA
"185271","W77.00845","N38.91147","03/04/86","transect"
"69490","W77.02793","N38.94105","01/26/11",""
"6878","W77.05147","N38.92541","02/04/12","transect"
"76502","W77.04321","N38.93924","03/07/15","otehr"
"154599","W77.06082","N38.91923","12/27/12",""
"190188","W77.05474","N38.91014","11/20/19","Other"
"18978","W77.0697","N38.9539","09/27/13","other"
"206432","W77.03479","N38.90601","01/22/20","N/A"
"70009","W77.02092","N38.94093","08/22/88","transect"
"141896","W77.04601","N38.92251","06/11/19",NA
"33210","W77.06783","N38.95026","04/10/14",""
"8091","W77.03199","N38.91996","10/11/14","transect"
"81173","W77.05396","N38.93802","05/13/18","random"
"55183","W77.04149","N38.94469","06/13/10",""
"59794","W77.0616","N38.94348","10/17/17",""
"24041","W77.01936","N38.95269","09/30/11",""
"194467","W77.05271","N38.90905","11/01/05","Transect1"
"4716","W77.04305","N38.93414","12/02/15","transect"
"154922","W77.01048","N38.91923","05/01/19",""
"187050","W77.02669","N38.91099","05/06/16","random"
"125907","W77.02622","N38.92663","02/13/18",NA
"77591","W77.02123","N38.93899","04/15/15",""
"8595","W77.06269","N38.95657","04/05/15",NA
"1344","W77.00752","N38.95002","04/12/14","transect"
"1693","W77.01827","N38.94869","06/09/19","transect"
"72325","W77.02934","N38.94033","11/13/16",NA
"77202","W77.00799","N38.93911","06/07/91","transect"
"165390","W77.00425","N38.91656","03/12/95","transect"
"208762","W77.04102","N38.90541","11/19/17",""
"3347","W77.01609","N38.94057","07/03/16","transect"
"106342","W77.04663","N38.9316","03/07/10","otehr"
"174989","W77.05957","N38.91402","11/28/13","nontransect"
"84405","W77.06736","N38.93717","02/26/03","transect4"
"44612","W77.06378","N38.94736","11/26/10","otehr"
"67901","W77.05396","N38.94142","11/30/11","other"
"97329","W77.04773","N38.9339","06/05/18","N/A"
"718","W77.00674","N38.95196","07/26/15","transect"
"142561","W77.01625","N38.92238","12/25/15","random"
"10024","W77.03775","N38.91147","06/19/12","transect"
"8877","W77.05443","N38.91596","10/05/18","transect"
"95852","W77.0563","N38.93426","05/31/15","other"
"49644","W77.01827","N38.94614","03/20/15","nontransect"
"1567","W77.00767","N38.94917","09/16/18","transect"
"127900","W77.0111","N38.92614","06/27/09","transect"
"150158","W77.01422","N38.92044","11/23/10","Other"
"156993","W77.05708","N38.91863","02/06/18","opportunistic"
"149589","W77.02902","N38.92057","04/29/10","other"
"43312","W77.04476","N38.94772","08/01/16",NA
"19089","W77.0524","N38.9539","02/21/19","Other"
"89421","W77.02435","N38.93596","03/11/90","thirdtransect"
"62558","W77.00019","N38.94287","12/23/11","otehr"
"23831","W77.05209","N38.95269","01/14/10","nontransect"
"183786","W77.01827","N38.91183","07/21/13","N/A"
"167565","W77.03464","N38.91596","05/16/18","Other"
"108636","W77.05848","N38.93099","04/21/14","otehr"
"73688","W77.03853","N38.93996","02/18/20","random"
"6890","W77.03791","N38.92541","07/31/11","transect"
"200957","W77.0016","N38.90747","03/19/19",""
"160243","W77.06767","N38.91778","02/20/11","opportunistic"
"9540","W77.06004","N38.9139","10/24/14","transect"
"74793","W77.01406","N38.93972","10/17/12","N/A"
"8247","W77.01562","N38.91911","05/13/12","transect"
"17341","W77.02388","N38.95838","12/26/17",""
"3143","W77.03728","N38.94142","03/25/15","TRANSECT"
"179038","W77.01952","N38.91305","12/23/10","otehr"
"68074","W77.027","N38.94142","10/02/14",""
"48305","W77.00534","N38.94651","05/11/12","otehr"
"105103","W77.01812","N38.93196","04/09/15","opportunistic"
"84851","W77.07173","N38.93705","09/18/79","Transect5"
"38109","W77.04305","N38.94905","03/08/16","other"
"110887","W77.00315","N38.93051","01/02/17","random"
"127112","W77.06004","N38.92626","04/23/19","N/A"
"217330","W77.03541","N38.90322","04/11/09","transect1"
"171009","W77.015","N38.91511","07/09/19","other"
"9005","W77.03838","N38.91572","12/28/14","transect"
"84923","W77.06051","N38.93705","06/04/13","N/A"
"10130","W77.06269","N38.91086","02/07/13","transect"
"18902","W76.99957","N38.95838","04/06/20","N/A"
"155102","W77.0563","N38.91911","04/27/20","other"
"91875","W77.01126","N38.93536","01/23/10","random"
"30191","W77.02123","N38.95111","12/04/14",NA
"38820","W77.00612","N38.94893","08/07/14","Other"
"216753","W77.05147","N38.90335","03/30/00","first_transect"
"42577","W77.01157","N38.94796","02/09/17",""
"14376","W77.04819","N38.95511","09/04/19","opportunistic"
"199438","W77.01671","N38.90783","06/27/02","first_transect"
"189368","W77.03479","N38.91038","06/10/12","N/A"
"192833","W77.01188","N38.90953","12/09/13","nontransect"
"33131","W77.00627","N38.95039","08/10/19","otehr"
"197698","W77.06627","N38.9082","08/15/12",""
"177343","W77.06206","N38.91341","06/30/11","other"
"8035","W77.03199","N38.9202","02/02/17","transect"
"30359","W77.06892","N38.95099","02/03/17","random"
"131069","W77.03432","N38.92529","07/12/17","nontransect"
"110991","W77.06082","N38.93039","09/24/15","other"
"199119","W77.06643","N38.90783","08/19/13",""
"144766","W77.04196","N38.92178","03/10/12","N/A"
"203771","W77.00627","N38.90674","07/13/94","transect"
"185359","W77.06861","N38.91135","09/12/15","Other"
"12711","W77.01219","N38.9556","06/29/11",NA
"3140","W77.00923","N38.94154","10/20/10","transect"
"27034","W77.07001","N38.95184","01/26/11",""
"194584","W77.03448","N38.90905","04/07/19","nontransect"
"38096","W77.04508","N38.94905","03/07/15","otehr"
"64975","W77.06674","N38.94214","12/27/12",""
"4635","W77.015","N38.95766","11/20/19","Other"
"94329","W77.07204","N38.93463","05/23/87","transect"
"39650","W77.02451","N38.94869","01/22/20","N/A"
"196555","W77.02279","N38.90856","08/04/15","random"
"140640","W77.02014","N38.92287","06/11/19",NA
"40990","W77.03728","N38.94833","04/10/14",""
"188152","W77.00269","N38.91074","07/02/11","N/A"
"59548","W77.02606","N38.9436","05/13/18","random"
"137213","W77.03713","N38.92372","06/13/10",""
"155832","W77.0164","N38.91899","07/23/08","Transect5"
"103959","W77.04866","N38.9322","09/30/11",""
"6355","W77.0351","N38.92772","07/05/17","transect"
"127700","W77.04227","N38.92614","03/18/16","Other"
"41833","W77.05365","N38.94808","05/01/19",""
"26404","W77.02045","N38.95208","05/06/16","random"
"169805","W77.05489","N38.91535","02/13/18",NA
"197244","W77.06315","N38.90832","04/15/15",""
"5919","W77.04695","N38.92954","03/27/14","transect"
"23051","W77.00877","N38.95826","04/04/20","Other"
"81641","W77.05599","N38.95669","03/28/18",NA
"139834","W77.07188","N38.92299","11/13/16",NA
"49155","W77.02061","N38.94627","12/17/10","N/A"
"121831","W77.07048","N38.9276","02/22/10","otehr"
"177157","W77.01718","N38.91353","11/19/17",""
"191698","W77.04102","N38.90977","06/28/18","random"
"169860","W77.04632","N38.91535","03/07/10","otehr"
"138719","W77.02404","N38.92335","11/28/13","nontransect"
"77332","W77.0616","N38.93899","08/21/12","other"
"58319","W77.06986","N38.94384","11/26/10","otehr"
"42527","W77.01936","N38.94796","11/29/96","transect3"
"61051","W77.01344","N38.94324","06/05/18","N/A"
"216334","W77.04289","N38.90347","09/28/19",NA
"154091","W77.06612","N38.91935","05/10/07","transects"
"69064","W77.02045","N38.94117","11/01/18","random"
"113566","W77.02887","N38.92978","10/23/17","random"
"189803","W77.04087","N38.91026","05/31/15","other"
"29493","W77.05614","N38.95123","08/20/90","transect"
"201051","W77.06082","N38.90735","04/06/10","Other"
"180503","W77.01282","N38.91268","03/11/14","random"
"116449","W77.02279","N38.92905","11/23/10","Other"
"176566","W77.03541","N38.91365","02/06/18","opportunistic"
"30190","W77.02139","N38.95111","04/29/10","other"
"97634","W77.00019","N38.9339","08/01/16",NA
"208916","W77.01702","N38.90541","02/21/19","Other"
"185161","W77.0256","N38.91147","10/18/14","nontransect"
"181048","W77.00175","N38.91256","12/23/11","otehr"
"73058","W77.06284","N38.94008","01/14/10","nontransect"
"88038","W77.01827","N38.93633","07/21/13","N/A"
"88348","W77.04383","N38.9362","02/19/79","transect"
"148728","W77.01547","N38.92081","04/21/14","otehr"
"111835","W77.00315","N38.93026","02/18/20","random"
"11037","W77.03495","N38.90638","10/14/13","transect"
"181513","W77.00315","N38.91244","03/19/19",""
"32503","W77.03027","N38.95051","02/20/11","opportunistic"
"106923","W77.02996","N38.93148","06/01/10","nontransect"
"148666","W77.02513","N38.92081","10/17/12","N/A"
"148098","W77.03978","N38.92093","02/03/18","opportunistic"
"204052","W77.03635","N38.90662","12/26/17",""
"176619","W77.02715","N38.91365","01/12/13","Other"
"134771","W77.04835","N38.92432","12/23/10","otehr"
"113752","W76.99988","N38.92978","10/02/14",""
"105704","W77.07219","N38.93172","05/11/12","otehr"
"9398","W77.01141","N38.95645","04/09/15","opportunistic"
"205920","W77.04071","N38.90614","06/09/84","transect"
"35104","W77.06814","N38.94978","03/18/99","transect"
"57911","W77.05614","N38.95863","01/02/17","random"
"34211","W77.05957","N38.95002","09/22/96","transect"
"98846","W77.03292","N38.93354","06/24/06","transect_2"
"39636","W77.02669","N38.94869","07/09/19","other"
"139413","W77.06362","N38.92311","11/22/17",""
"134927","W77.02404","N38.92432","06/04/13","N/A"
"19691","W77.03245","N38.95378","05/14/13","opportunistic"
"154731","W77.04025","N38.91923","04/06/20","N/A"
"717","W77.00689","N38.95196","04/16/17","transect"
"39633","W77.02715","N38.94869","01/23/10","random"
"58483","W77.0443","N38.94384","12/04/14",NA
"2040","W77.05006","N38.95826","08/07/14","Other"
"134844","W77.03697","N38.92432","06/22/17",""
"160494","W77.02856","N38.91778","02/09/17",""
"43800","W77.04258","N38.9476","09/04/19","opportunistic"
"109053","W77.06736","N38.93087","07/27/12","nontransect"
"200655","W77.04866","N38.90747","01/25/86","transect"
"117154","W77.06066","N38.92881","12/09/13","nontransect"
"76161","W77.02248","N38.93936","08/10/19","otehr"
"125588","W77.00206","N38.92675","08/15/12",""
"153806","W77.03666","N38.91947","06/30/11","other"
"204697","W77.0097","N38.9065","10/11/15","random"
"75018","W77.05287","N38.9396","02/03/17","random"
"69391","W77.04336","N38.94105","07/12/17","nontransect"
"4614","W77.00736","N38.93487","07/07/19","transect"
"201294","W77.02295","N38.90735","08/19/13",""
"153632","W77.06378","N38.91947","03/10/12","N/A"
"130036","W77.04757","N38.92554","12/16/12","Other"
"146007","W77.07017","N38.92141","09/17/91","transect"
"101217","W77.03276","N38.93293","06/29/11",NA
"77472","W77.03978","N38.93899","06/03/11","N/A"
"56229","W77.02622","N38.94445","01/26/11",""
"196526","W77.02731","N38.90856","04/07/19","nontransect"
"172231","W77.04617","N38.91474","03/07/15","otehr"
"213053","W77.03713","N38.90432","12/27/12",""
"28889","W77.00253","N38.95148","04/20/91","transect"
"30753","W77.00752","N38.95099","09/27/13","other"
"208982","W77.00674","N38.90541","01/22/20","N/A"
"95298","W77.06876","N38.93439","04/15/00","transect"
"174505","W77.06113","N38.91414","06/11/19",NA
"133168","W77.00269","N38.92481","04/10/14",""
"23809","W77.05552","N38.95269","07/02/11","N/A"
"74509","W77.05832","N38.93972","05/13/18","random"
"182505","W77.07017","N38.91208","06/13/10",""
"148004","W77.05443","N38.92093","07/16/96","Transect4"
"52704","W77.05848","N38.9453","09/30/11",""
"107791","W77.04243","N38.93123","09/24/11","Other"
"1803","W77.01562","N38.94833","12/20/15","transect"
"61922","W77.02544","N38.94299","05/01/19",""
"8527","W76.99941","N38.95669","05/06/16","random"
"197402","W77.03853","N38.90832","02/13/18",NA
"54900","W77.01173","N38.94481","04/15/15",""
"15517","W77.01812","N38.95487","04/05/15",NA
"91633","W77.04897","N38.93536","04/04/20","Other"
"5086","W77.02606","N38.93281","11/20/10","transect"
"92542","W77.05505","N38.93511","11/13/16",NA
"12389","W77.06238","N38.9556","12/17/10","N/A"
"209120","W77.0591","N38.90529","02/22/10","otehr"
"38564","W77.04601","N38.94893","11/19/17",""
"45905","W77.01001","N38.94711","06/28/18","random"
"178541","W77.0231","N38.91317","03/07/10","otehr"
"123431","W77.04274","N38.92723","11/28/13","nontransect"
"157007","W77.05489","N38.91863","08/21/12","other"
"93942","W77.01204","N38.95645","11/26/10","otehr"
"89702","W77.05443","N38.93584","11/30/11","other"
"133344","W77.04913","N38.92469","11/29/88","transect_2"
"186037","W77.03682","N38.91123","09/28/19",NA
"67341","W77.06736","N38.94154","12/25/15","random"
"184357","W77.00315","N38.91171","02/10/86","transect"
"147929","W77.06612","N38.92093","10/23/17","random"
"88411","W77.03401","N38.9362","01/26/93","transect"
"100136","W77.05349","N38.93317","03/20/15","nontransect"
"36356","W77.02076","N38.94954","04/06/10","Other"
"27160","W77.05038","N38.95184","03/11/14","random"
"217546","W77.00175","N38.90322","10/07/82","transect"
"160082","W77.01889","N38.9179","02/06/18","opportunistic"
"164852","W77.01422","N38.91669","09/15/99","transect"
"85936","W77.05038","N38.93681","08/01/16",NA
"203535","W77.04305","N38.90674","02/21/19","Other"
"7319","W77.03261","N38.9236","07/28/15","transect"
"27448","W77.00549","N38.95184","12/23/11","otehr"
"127401","W77.015","N38.92626","01/14/10","nontransect"
"35517","W77.00378","N38.94978","07/21/13","N/A"
"130571","W77.03806","N38.92541","05/16/18","Other"
"51224","W77.06752","N38.94566","04/21/14","otehr"
"9167","W77.04741","N38.95645","07/08/79","transect"
"26353","W77.0284","N38.95208","08/03/14",""
"200432","W77.00954","N38.90759","03/19/19",""
"132038","W77.03105","N38.92505","02/20/11","opportunistic"
"49734","W77.00425","N38.94614","06/01/10","nontransect"
"36464","W77.00393","N38.94954","10/17/12","N/A"
"50389","W77.04991","N38.9459","02/03/18","opportunistic"
"205591","W77.01812","N38.90626","12/26/17",""
"44437","W77.01718","N38.94748","06/17/95","transect"
"10344","W77.03697","N38.90965","04/02/13","transect "
"68884","W77.04851","N38.94117","03/15/86","Transect5"
"151178","W77.003","N38.9202","05/11/12","otehr"
"207050","W77.01235","N38.90589","04/09/15","opportunistic"
"121936","W77.05412","N38.9276","02/04/18",""
"178800","W77.05661","N38.91305","04/16/01","transect"
"147705","W77.02715","N38.92105","01/02/17","random"
"45239","W77.03993","N38.94723","04/23/19","N/A"
"208002","W77.01173","N38.90565","08/25/85","transect"
"130396","W77.06534","N38.92541","07/09/19","other"
"34839","W77.03557","N38.9499","06/23/06","Transect1"
"140733","W77.00565","N38.92287","06/04/13","N/A"
"44974","W77.00736","N38.94736","05/14/13","opportunistic"
"189971","W77.01469","N38.91026","04/06/20","N/A"
"91279","W77.03027","N38.93548","04/27/20","other"
"139347","W77.00004","N38.92323","01/23/10","random"
"140366","W77.06284","N38.92287","12/04/14",NA
"187289","W77.06331","N38.91086","08/07/14","Other"
"164125","W77.05365","N38.91681","06/22/17",""
"56282","W77.01796","N38.94445","02/09/17",""
"53871","W77.02435","N38.94505","09/04/19","opportunistic"
"166252","W77.01765","N38.91632","07/27/12","nontransect"
"52561","W77.00689","N38.94542","03/27/02","first_transect"
"182366","W77.01796","N38.9122","12/09/13","nontransect"
"59068","W77.027","N38.94372","08/10/19","otehr"
"110685","W77.03464","N38.93051","08/15/12",""
"89202","W77.05848","N38.93596","12/24/09","transect"
"146961","W77.06923","N38.92117","10/11/15","random"
"177923","W77.04554","N38.91329","02/03/17","random"
"196345","W77.05552","N38.90856","07/12/17","nontransect"
"149766","W77.00144","N38.92057","09/24/15","other"
"203256","W77.01266","N38.90686","08/19/13",""
"20031","W77.05583","N38.95826","03/10/12","N/A"
"159710","W77.003","N38.91802","12/16/12","Other"
"188941","W77.02747","N38.9105","09/12/15","Other"
"123318","W77.06035","N38.92723","06/29/11",NA
"66905","W77.06144","N38.94166","06/03/11","N/A"
"207811","W77.04149","N38.90565","01/26/11",""
"74942","W77.01266","N38.95693","04/07/19","nontransect"
"214924","W77.04102","N38.90383","03/07/15","otehr"
"18846","W77.0164","N38.95402","12/27/12",""
"89365","W77.03308","N38.93596","11/20/19","Other"
"107244","W77.0538","N38.93136","09/27/13","other"
"83139","W77.04305","N38.93754","01/22/20","N/A"
"3006","W77.01812","N38.94202","10/08/15","transect"
"126872","W77.02357","N38.92638","06/11/19",NA
"1309","W77.00705","N38.95014","11/27/14","transect"
"6621","W77.04134","N38.92663","06/25/19","transect "
"16674","W77.05941","N38.95451","05/13/18","random"
"153645","W77.06175","N38.91947","06/13/10",""
"90802","W77.03074","N38.9356","10/17/17",""
"183892","W77.00175","N38.91183","09/30/11",""
"206848","W77.04383","N38.90589","09/24/11","Other"
"71442","W77.01921","N38.94057","03/18/16","Other"
"113611","W77.02186","N38.92978","05/01/19",""
"94268","W77.00767","N38.93475","05/06/16","random"
"14918","W77.0376","N38.95499","02/13/18",NA
"209135","W77.05676","N38.90529","04/15/15",""
"38696","W77.02544","N38.94893","04/05/15",NA
"92448","W77.0697","N38.93511","04/04/20","Other"
"19565","W77.05209","N38.95378","03/28/18",NA
"81377","W77.02217","N38.93802","11/13/16",NA
"9760","W77.03869","N38.9128","12/01/16","transect"
"141526","W77.0298","N38.92263","02/22/10","otehr"
"50295","W77.06456","N38.9459","02/01/02","first_transect"
"155391","W77.01126","N38.91911","06/28/18","random"
"25765","W77.04617","N38.9522","03/07/10","otehr"
"174441","W77.0711","N38.91414","11/28/13","nontransect"
"65345","W77.00908","N38.94214","08/21/12","other"
"8939","W77.04118","N38.91584","01/09/11","transect"
"77998","W77.03167","N38.93887","11/30/11","other"
"8961","W77.0231","N38.91584","07/13/15","transect"
"142808","W77.05162","N38.92226","09/28/19",NA
"132636","W77.01173","N38.92493","12/25/15","random"
"181018","W77.00643","N38.91256","02/03/84","transect"
"9122","W77.05489","N38.91523","06/22/13","transect"
"78525","W77.02341","N38.93875","05/31/15","other"
"135348","W77.0323","N38.9242","06/13/80","transect"
"210698","W77.03479","N38.90492","04/06/10","Other"
"134100","W77.00518","N38.92457","02/08/04","Transect5"
"81570","W77.06596","N38.9379","11/23/10","Other"
"4832","W77.02497","N38.93366","05/12/18","transect"
"91545","W77.06269","N38.93536","04/29/10","other"
"211783","W77.01344","N38.90468","08/01/16",NA
"197253","W77.06175","N38.90832","02/21/19","Other"
"2814","W77.01204","N38.94299","04/07/18","transect"
"97266","W77.05754","N38.9339","12/23/11","otehr"
"119080","W77.05599","N38.92832","01/14/10","nontransect"
"40895","W77.05209","N38.94833","07/21/13","N/A"
"77379","W77.05427","N38.93899","07/20/83","Transect1"
"209699","W77.04274","N38.90516","04/21/14","otehr"
"205078","W77.02419","N38.90638","04/24/00","transect"
"107334","W77.03978","N38.93136","08/03/14",""
"2426","W77.00892","N38.94542","02/28/14","transect"
"57671","W77.0231","N38.94408","02/20/11","opportunistic"
"212471","W77.05396","N38.90444","06/01/10","nontransect"
"153693","W77.05427","N38.91947","10/17/12","N/A"
"211390","W77.00082","N38.9048","02/03/18","opportunistic"
"154337","W77.02778","N38.91935","12/26/17",""
"75240","W77.01827","N38.9396","01/12/13","Other"
"195621","W77.02061","N38.9088","12/23/10","otehr"
"212056","W77.04476","N38.90456","10/02/14",""
"73818","W77.01827","N38.93996","05/11/12","otehr"
"461","W77.00627","N38.95293","04/19/15","transect"
"9230","W77.05552","N38.91487","10/05/16","transect"
"198840","W77.03604","N38.90795","03/08/16","other"
"184843","W77.00128","N38.91159","05/04/83","transect"
"2810","W77.00393","N38.95814","04/23/19","N/A"
"247","W77.01593","N38.95511","03/09/19","transect"
"134222","W77.06004","N38.92445","07/09/19","other"
"129190","W77.03167","N38.92578","11/22/17",""
"39124","W77.03261","N38.94881","01/12/05","Transect2"
"52058","W77.01141","N38.94554","05/14/13","opportunistic"
"56136","W77.04071","N38.94445","04/06/20","N/A"
"210306","W77.02201","N38.90504","04/27/20","other"
"190040","W77.00393","N38.91026","01/23/10","random"
"124916","W77.03292","N38.92687","12/04/14",NA
"116082","W77.00612","N38.92917","08/07/14","Other"
"128268","W77.02762","N38.92602","06/22/17",""
"165688","W77.03167","N38.91644","02/09/17",""
"131568","W77.03043","N38.92517","09/04/19","opportunistic"
"17755","W77.03869","N38.95426","07/27/12","nontransect"
"167323","W77.07235","N38.91596","12/05/04","transect"
"2548","W77.01749","N38.94457","07/12/14","transect "
"148277","W77.01188","N38.92093","08/10/19","otehr"
"100732","W77.03448","N38.93305","08/15/12",""
"14802","W77.05567","N38.95499","06/30/11","other"
"121297","W77.00596","N38.92784","10/11/15","random"
"120059","W77.05115","N38.92808","02/03/17","random"
"85514","W77.04227","N38.93693","07/12/17","nontransect"
"155351","W77.01749","N38.91911","09/24/15","other"
"164732","W77.03292","N38.91669","08/19/13",""
"63276","W77.03604","N38.94263","03/10/12","N/A"
"9834","W77.02809","N38.91244","05/23/10","transect"
"3602","W77.02825","N38.9579","09/12/15","Other"
"25925","W77.02123","N38.9522","06/29/11",NA
"152645","W77.06986","N38.91972","06/03/11","N/A"
"72633","W77.05521","N38.9402","01/26/11",""
"63910","W77.0111","N38.94251","04/07/19","nontransect"
"146548","W77.05973","N38.92129","12/05/01","transect3"
"136141","W77.05645","N38.92396","12/27/12",""
"123968","W77.03292","N38.92711","11/20/19","Other"
"180724","W77.05225","N38.91256","09/27/13","other"
"136586","W77.06097","N38.92384","01/22/20","N/A"
"65190","W77.03323","N38.94214","08/04/15","random"
"169915","W77.03775","N38.91535","12/28/87","transect_2"
"167464","W77.05038","N38.91596","04/10/14",""
"42613","W77.00596","N38.94796","07/02/11","N/A"
"28432","W76.99988","N38.9516","05/13/18","random"
"194360","W77.06939","N38.90905","06/13/10",""
"11191","W77.02747","N38.95596","10/17/17",""
