"","Longitude","Latitude","Date","Survey_Type"
"121872","77°3.85'W","38°55.66'N","26-Aug-78","transect"
"7118","77°4.28'W","38°57.42'N","27-Aug-78","transect"
"16839","77°2.02'W","38°57.27'N","29-Aug-78","Transect3"
"128727","77°1.8'W","38°55.55'N","22-Sep-78","Transect2"
"54064","77°4.09'W","38°56.7'N","27-Sep-78","transect"
"177459","77°2.64'W","38°54.8'N","10-Oct-78","Transect4"
"142110","77°0.76'W","38°55.35'N","12-Oct-78","transect"
"18936","77°0.14'W","38°57.24'N","28-Oct-78","Transect"
"50778","77°3.79'W","38°56.75'N","30-Oct-78","transect"
"84042","77°3'W","38°56.24'N","01-Nov-78","transect"
"24302","77°3.15'W","38°57.15'N","06-Nov-78","first_transect"
"37819","77°0.86'W","38°56.95'N","07-Nov-78","transect"
"152976","77°1.1'W","38°55.18'N","08-Nov-78","transect"
"211450","77°3.92'W","38°54.28'N","11-Nov-78","transect1"
"209089","77°3.84'W","38°54.32'N","23-Nov-78","Transect2"
"61972","77°1.06'W","38°56.58'N","07-Dec-78","transect"
"90674","77°3.04'W","38°56.14'N","08-Dec-78","transect"
"29129","77°2.34'W","38°57.08'N","14-Dec-78","transect"
"67010","77°2.7'W","38°56.5'N","16-Dec-78","transect"
"180108","77°0.03'W","38°54.77'N","19-Dec-78","transect"
"143655","77°4.04'W","38°55.32'N","31-Dec-78","thirdtransect"
"80458","77°1.06'W","38°56.3'N","04-Jan-79","transect"
"168759","77°4.21'W","38°54.94'N","05-Jan-79","transect"
"207882","77°1.83'W","38°54.34'N","06-Jan-79","transect"
"185357","77°4.14'W","38°54.68'N","09-Jan-79","transect"
"199743","77°2.58'W","38°54.46'N","23-Jan-79","transect"
"119967","77°3.93'W","38°55.68'N","24-Jan-79","second_transect"
"164294","77°1.64'W","38°55.01'N","27-Jan-79","transect"
"99559","77°4.17'W","38°56'N","31-Jan-79","Transect2"
"158228","77°0.74'W","38°55.1'N","10-Feb-79","Transect"
"161659","77°4.12'W","38°55.04'N","12-Feb-79","Transect1"
"58199","77°0.88'W","38°56.64'N","15-Feb-79","TRANSECT"
"34270","77°3.02'W","38°57'N","16-Feb-79","transect"
"207937","77°1.31'W","38°54.34'N","24-Feb-79","transect"
"93060","77°2.89'W","38°56.1'N","03-Mar-79","transect"
"113561","77°1.78'W","38°55.79'N","16-Mar-79","transect"
"84155","77°1.95'W","38°56.24'N","10-Apr-79","transect"
"135797","77°2.17'W","38°55.44'N","13-Apr-79","transect"
"74927","77°4.02'W","38°56.38'N","17-Apr-79","transect"
"44001","77°3.1'W","38°57.46'N","19-Apr-79","transect"
"62958","77°0.7'W","38°56.57'N","20-Apr-79","Transect2"
"121326","77°0.09'W","38°55.67'N","25-Apr-79","transect"
"107375","77°2'W","38°55.88'N","04-May-79","transect"
"8974","77°0.22'W","38°57.39'N","12-May-79","transect"
"8030","77°0.18'W","38°57.41'N","15-May-79","transects"
"28163","77°2.51'W","38°57.1'N","18-May-79","transect"
"139098","77°2.33'W","38°55.39'N","01-Jun-79","first_transect"
"204796","77°4.09'W","38°54.38'N","09-Jun-79","transects"
"199654","77°3.42'W","38°54.46'N","21-Jun-79","transect_2"
"113354","77°0.3'W","38°57.36'N","29-Jun-79","transect"
"124634","77°0.18'W","38°55.62'N","12-Jul-79","transect"
"36262","77°2.12'W","38°56.97'N","15-Jul-79","transect"
"76866","77°3.62'W","38°56.35'N","20-Jul-79","transect"
"192350","77°0.8'W","38°54.58'N","04-Aug-79","transect"
"203828","77°4.28'W","38°54.4'N","09-Aug-79","transect"
"38613","77°2.3'W","38°56.94'N","14-Aug-79","transect"
"16692","77°3.4'W","38°57.27'N","21-Aug-79","transect"
"33580","77°0.61'W","38°57.02'N","24-Aug-79","transect"
"99679","77°3.05'W","38°56'N","26-Aug-79","transect"
"144566","76°59.96'W","38°55.31'N","27-Aug-79","second_transect"
"90006","77°0.42'W","38°56.15'N","02-Sep-79","transect"
"36061","77°4'W","38°56.97'N","18-Sep-79","transect"
"18769","77°1.7'W","38°57.24'N","28-Sep-79","thirdtransect"
"208823","77°1.89'W","38°54.32'N","29-Sep-79","transect1"
"198740","77°3.1'W","38°54.48'N","07-Oct-79","transects"
"110347","77°0.81'W","38°55.84'N","08-Oct-79","transect "
"188627","77°0.15'W","38°54.64'N","17-Oct-79","transect"
"72528","77°4.29'W","38°56.41'N","23-Oct-79","transect"
"110898","77°0.09'W","38°55.83'N","24-Oct-79","transect"
"156338","77°0.68'W","38°55.13'N","02-Nov-79","transect"
"201262","77°1.68'W","38°54.44'N","15-Nov-79","thirdtransect"
"42753","77°3.48'W","38°56.87'N","27-Nov-79","Transect"
"120554","77°2.87'W","38°55.68'N","04-Dec-79","transect"
"54692","77°2.65'W","38°56.69'N","05-Dec-79","transect"
"16098","77°0.09'W","38°57.28'N","07-Dec-79","transects"
"195067","77°1.98'W","38°54.54'N","15-Dec-79","transect"
"203583","77°2.13'W","38°54.4'N","18-Dec-79","Transect1"
"154848","77°1.32'W","38°55.15'N","19-Dec-79","first_transect"
"67119","77°1.69'W","38°56.5'N","21-Dec-79","first_transect"
"146204","77°2.37'W","38°55.28'N","24-Dec-79","transect"
"64295","77°1.5'W","38°56.54'N","02-Jan-80","transect"
"123580","77°1.17'W","38°55.63'N","11-Jan-80","transects"
"90609","77°3.65'W","38°56.14'N","16-Jan-80","Transect1"
"940","76°59.99'W","38°57.52'N","22-Jan-80","Transect"
"35279","77°2.45'W","38°56.99'N","24-Jan-80","Transect2"
"68053","77°1.82'W","38°56.49'N","30-Jan-80","Transect"
"161936","77°1.53'W","38°55.04'N","02-Feb-80","transect"
"33174","76°59.97'W","38°57.02'N","03-Feb-80","first_transect"
"189354","77°2.22'W","38°54.62'N","07-Feb-80","transect"
"134251","77°3.33'W","38°55.47'N","18-Feb-80","second_transect"
"60509","77°1.44'W","38°56.6'N","19-Feb-80","first_transect"
"98641","77°3.89'W","38°56.01'N","21-Feb-80","transect_2"
"154829","77°1.5'W","38°55.15'N","23-Feb-80","Transect"
"102131","77°1.93'W","38°57.37'N","27-Feb-80","transect4"
"94620","77°1.6'W","38°56.08'N","05-Mar-80","first_transect"
"214145","77°0.88'W","38°54.24'N","13-Mar-80","Transect"
"176189","77°1.22'W","38°54.83'N","15-Mar-80","thirdtransect"
"170170","77°4.31'W","38°54.91'N","22-Mar-80","second_transect"
"191629","77°3.11'W","38°54.59'N","27-Mar-80","transect"
"173762","77°1.75'W","38°54.86'N","28-Mar-80","Transect4"
"209005","77°0.19'W","38°54.32'N","02-Apr-80","transect"
"120261","77°1.18'W","38°55.68'N","05-Apr-80","transect"
"34444","77°1.4'W","38°57'N","08-Apr-80","transect"
"179828","77°2.65'W","38°54.77'N","18-Apr-80","transect"
"154249","77°2.49'W","38°55.16'N","20-Apr-80","thirdtransect"
"178999","77°1.54'W","38°54.78'N","24-Apr-80","Transect"
"2935","77°3.5'W","38°57.48'N","26-Apr-80","transect4"
"181216","77°2.97'W","38°54.75'N","01-May-80","transect"
"50559","77°1.4'W","38°56.75'N","08-May-80","Transect3"
"33824","77°2.76'W","38°57.01'N","11-May-80","transect"
"116711","77°3.35'W","38°55.74'N","14-May-80","transect"
"33856","77°2.46'W","38°57.01'N","23-May-80","Transect2"
"185509","77°2.71'W","38°54.68'N","24-May-80","transect"
"215607","77°0.51'W","38°54.22'N","25-May-80","transect"
"116812","77°2.41'W","38°55.74'N","29-May-80","transect"
"57896","77°3.71'W","38°56.64'N","07-Jun-80","transect_2"
"51454","77°1.9'W","38°56.74'N","08-Jun-80","transect"
"17891","77°1.05'W","38°57.26'N","10-Jun-80","transect"
"182149","77°3.11'W","38°54.73'N","11-Jun-80","transect"
"36517","77°4.17'W","38°56.96'N","28-Jun-80","transect"
"181491","77°0.39'W","38°54.75'N","08-Jul-80","transect"
"78171","77°0.28'W","38°56.33'N","10-Jul-80","transect"
"161554","77°0.67'W","38°55.05'N","13-Jul-80","TRANSECT"
"161434","77°1.79'W","38°55.05'N","27-Jul-80","transect "
"172839","77°1.52'W","38°54.88'N","03-Aug-80","transect1"
"124162","77°0.16'W","38°55.63'N","04-Aug-80","transect"
"172986","77°0.14'W","38°54.88'N","08-Aug-80","transect"
"121818","76°59.92'W","38°55.66'N","12-Aug-80","TRANSECT"
"192104","77°3.1'W","38°54.58'N","16-Aug-80","transect3"
"156650","77°2.2'W","38°55.12'N","19-Aug-80","transect4"
"22276","76°59.94'W","38°57.19'N","23-Aug-80","transect3"
"130522","77°2.74'W","38°55.52'N","25-Aug-80","transect"
"196205","77°0.21'W","38°54.52'N","07-Sep-80","transect"
"158184","77°1.15'W","38°55.1'N","09-Sep-80","first_transect"
"148372","77°4.26'W","38°55.25'N","13-Sep-80","transect"
"127679","77°2.73'W","38°55.57'N","25-Sep-80","Transect1"
"165454","77°4.09'W","38°54.99'N","28-Sep-80","transect"
"77785","77°3.89'W","38°56.33'N","06-Oct-80","transect"
"131341","77°3.95'W","38°55.51'N","08-Oct-80","transect1"
"67925","77°3.01'W","38°56.49'N","10-Oct-80","transect "
"191655","77°2.86'W","38°54.59'N","17-Oct-80","transect"
"60531","77°1.24'W","38°56.6'N","30-Oct-80","transect"
"43021","77°0.97'W","38°56.87'N","31-Oct-80","transect1"
"155184","77°2.61'W","38°55.15'N","02-Nov-80","transect"
"11747","77°0.88'W","38°57.35'N","03-Nov-80","transect "
"206107","77°0.69'W","38°54.37'N","07-Nov-80","transect"
"90194","77°3.1'W","38°56.14'N","08-Nov-80","TRANSECT"
"69155","77°0.38'W","38°56.47'N","11-Nov-80","first_transect"
"125467","77°1.26'W","38°55.6'N","12-Nov-80","transect"
"178951","77°1.98'W","38°54.78'N","17-Nov-80","first_transect"
"125758","77°2.97'W","38°55.6'N","04-Dec-80","transect"
"184759","77°0.86'W","38°54.7'N","05-Dec-80","transect"
"195877","77°3.27'W","38°54.52'N","07-Dec-80","transect3"
"173973","77°4.21'W","38°54.86'N","09-Dec-80","transect"
"141814","77°3.53'W","38°55.35'N","11-Dec-80","transect"
"160857","77°2.75'W","38°55.06'N","18-Dec-80","thirdtransect"
"167143","77°1.59'W","38°54.96'N","23-Dec-80","transect"
"53509","77°0.41'W","38°56.71'N","05-Jan-81","transect3"
"65347","77°0.53'W","38°56.53'N","10-Jan-81","transect"
"164949","76°59.95'W","38°55'N","20-Jan-81","transect"
"204309","77°4.21'W","38°54.39'N","31-Jan-81","transect"
"46433","77°0.1'W","38°56.82'N","07-Feb-81","thirdtransect"
"66800","77°0.24'W","38°56.51'N","10-Feb-81","transect"
"134907","77°1.63'W","38°55.46'N","12-Feb-81","transect"
"18073","77°3.78'W","38°57.25'N","16-Feb-81","transect"
"42327","77°3.03'W","38°56.88'N","17-Feb-81","first_transect"
"119195","77°2.28'W","38°55.7'N","22-Feb-81","second_transect"
"81235","77°2.66'W","38°56.28'N","04-Mar-81","transect"
"124234","77°3.92'W","38°55.62'N","07-Mar-81","transect"
"72348","77°1.55'W","38°56.42'N","08-Mar-81","transect"
"183202","77°2.12'W","38°54.72'N","22-Mar-81","transect "
"109471","77°0.13'W","38°55.85'N","23-Mar-81","transect"
"51456","77°1.88'W","38°56.74'N","24-Mar-81","TRANSECT"
"90940","77°0.55'W","38°56.14'N","26-Mar-81","transects"
"61392","77°2.05'W","38°56.59'N","27-Mar-81","transect"
"89772","77°2.61'W","38°56.15'N","02-Apr-81","Transect"
"39378","77°4.01'W","38°56.92'N","05-Apr-81","transect"
"108722","77°2.7'W","38°55.86'N","10-Apr-81","transect"
"51230","77°3.99'W","38°56.74'N","15-Apr-81","transect"
"163168","77°3.3'W","38°55.02'N","22-Apr-81","Transect3"
"51993","77°1.29'W","38°56.73'N","02-May-81","transect1"
"165582","77°2.89'W","38°54.99'N","09-May-81","transect"
"110280","77°1.43'W","38°55.84'N","12-May-81","transect"
"78705","77°4.15'W","38°56.32'N","16-May-81","transect"
"208650","77°3.51'W","38°54.32'N","23-May-81","TRANSECT"
"93228","77°1.32'W","38°56.1'N","28-May-81","Transect5"
"124080","77°0.93'W","38°55.63'N","03-Jun-81","transect"
"159821","77°3.57'W","38°55.07'N","04-Jun-81","Transect3"
"74474","77°3.83'W","38°56.38'N","06-Jun-81","Transect1"
"33912","77°1.94'W","38°57.01'N","07-Jun-81","transect4"
"162334","77°2.24'W","38°55.04'N","08-Jun-81","transect1"
"157228","77°1.23'W","38°55.12'N","10-Jun-81","second_transect"
"88520","77°1.02'W","38°56.17'N","12-Jun-81","transect"
"153174","77°3.68'W","38°55.18'N","13-Jun-81","transect"
"28984","77°3.7'W","38°57.08'N","16-Jun-81","transect3"
"26193","77°3.2'W","38°57.12'N","21-Jun-81","transect"
"168524","77°1.98'W","38°54.94'N","04-Jul-81","transect"
"110545","77°3.39'W","38°55.83'N","13-Jul-81","transect"
"38072","77°2.93'W","38°56.94'N","16-Jul-81","transect3"
"161455","77°1.59'W","38°55.05'N","22-Jul-81","Transect2"
"175051","77°2.99'W","38°54.84'N","27-Jul-81","TRANSECT"
"74624","77°2.42'W","38°56.38'N","19-Aug-81","Transect2"
"207072","77°0.54'W","38°54.35'N","27-Aug-81","transect"
"82426","77°0.39'W","38°56.27'N","02-Sep-81","first_transect"
"183359","77°0.66'W","38°54.72'N","03-Sep-81","first_transect"
"86372","77°3.38'W","38°56.2'N","06-Sep-81","second_transect"
"158690","77°0.85'W","38°55.1'N","17-Sep-81","transect"
"114130","77°0.89'W","38°55.78'N","18-Sep-81","Transect"
"151818","77°3.06'W","38°55.2'N","30-Sep-81","Transect"
"69022","77°1.62'W","38°56.47'N","03-Oct-81","transect"
"64061","77°2.07'W","38°57.43'N","06-Oct-81","transect"
"190351","77°1.76'W","38°54.61'N","18-Oct-81","transect"
"101642","77°2.42'W","38°55.97'N","19-Oct-81","transect"
"76946","77°2.87'W","38°56.35'N","21-Oct-81","transect"
"120345","77°0.39'W","38°55.68'N","27-Oct-81","transect"
"166746","77°0.87'W","38°54.97'N","29-Oct-81","transect3"
"24276","77°3.4'W","38°57.15'N","01-Nov-81","transect"
"205985","77°1.83'W","38°54.37'N","10-Nov-81","Transect3"
"208678","77°3.25'W","38°54.32'N","22-Nov-81","Transect2"
"139821","77°0'W","38°55.39'N","25-Nov-81","transect"
"137708","77°2.03'W","38°55.42'N","03-Dec-81","transect"
"168597","77°1.29'W","38°54.94'N","05-Dec-81","transect"
"161178","77°4.18'W","38°55.05'N","12-Dec-81","transect1"
"147884","76°59.96'W","38°55.26'N","14-Dec-81","Transect1"
"2716","77°1.11'W","38°57.49'N","17-Dec-81","TRANSECT"
"28496","77°3.83'W","38°57.09'N","07-Jan-82","transect"
"210052","77°3.7'W","38°54.3'N","10-Jan-82","transect"
"176302","77°0.16'W","38°54.83'N","19-Jan-82","transect"
"173516","77°4.05'W","38°54.86'N","29-Jan-82","thirdtransect"
"115899","77°2.08'W","38°55.75'N","30-Jan-82","thirdtransect"
"196136","77°0.85'W","38°54.52'N","01-Feb-82","transect"
"215549","77°1.05'W","38°54.22'N","02-Feb-82","transect"
"76363","77°3.89'W","38°56.35'N","06-Feb-82","transect"
"183702","77°1.88'W","38°54.71'N","12-Feb-82","transect"
"30046","77°2.63'W","38°57.07'N","23-Feb-82","first_transect"
"66862","77°4.09'W","38°56.5'N","24-Feb-82","Transect2"
"202779","77°0.79'W","38°54.42'N","07-Mar-82","transect "
"22691","77°0.49'W","38°57.18'N","12-Mar-82","transect"
"125585","77°0.15'W","38°55.6'N","16-Mar-82","second_transect"
"207892","77°1.73'W","38°54.34'N","24-Mar-82","Transect5"
"57301","77°0.41'W","38°56.65'N","01-Apr-82","thirdtransect"
"59872","77°2.97'W","38°56.61'N","12-Apr-82","first_transect"
"106306","77°3.13'W","38°55.9'N","20-Apr-82","transect"
"213173","77°1.11'W","38°54.26'N","21-Apr-82","second_transect"
"156772","77°1.06'W","38°55.12'N","27-Apr-82","transect"
"50289","77°3.93'W","38°56.75'N","29-Apr-82","transect"
"146175","77°2.64'W","38°55.28'N","29-Apr-82","transect"
"37541","77°3.46'W","38°56.95'N","30-Apr-82","TRANSECT"
"178033","77°1.7'W","38°54.8'N","16-May-82","transect"
"148218","77°1.26'W","38°55.26'N","21-May-82","transect"
"90001","77°0.47'W","38°56.15'N","23-May-82","transect"
"39857","77°3.97'W","38°56.91'N","25-May-82","transect3"
"43342","77°2.41'W","38°56.86'N","31-May-82","transect"
"50875","77°2.88'W","38°56.75'N","06-Jun-82","transect"
"103544","77°2.37'W","38°55.94'N","10-Jun-82","first_transect"
"134326","77°2.63'W","38°55.47'N","12-Jun-82","transect"
"84126","77°2.22'W","38°56.24'N","19-Jun-82","transect"
"156881","77°0.04'W","38°55.12'N","23-Jun-82","transect_2"
"21709","77°0.81'W","38°57.2'N","24-Jun-82","transect"
"119641","77°2.55'W","38°55.69'N","25-Jun-82","transect3"
"62501","77°3.53'W","38°57.43'N","06-Jul-82","transect"
"66431","77°3.69'W","38°56.51'N","10-Jul-82","Transect4"
"22145","77°1.16'W","38°57.19'N","11-Jul-82","Transect5"
"173860","77°0.83'W","38°54.86'N","12-Jul-82","transect"
"40449","77°2.86'W","38°56.91'N","05-Aug-82","transect1"
"113041","77°2.21'W","38°55.79'N","12-Aug-82","transect"
"140235","77°0.56'W","38°55.38'N","17-Aug-82","transect"
"141956","77°2.2'W","38°55.35'N","28-Aug-82","transect_2"
"88129","77°0.25'W","38°56.18'N","01-Sep-82","Transect2"
"50912","77°2.54'W","38°56.75'N","10-Sep-82","transect4"
"56041","77°3.33'W","38°56.67'N","18-Sep-82","transect"
"159308","77°3.94'W","38°55.08'N","20-Sep-82","transect"
"8770","77°2.12'W","38°57.39'N","23-Sep-82","Transect4"
"217452","77°0.98'W","38°54.19'N","26-Sep-82","transect"
"84056","77°2.87'W","38°56.24'N","27-Sep-82","transect"
"80897","77°1.39'W","38°56.29'N","12-Oct-82","transect"
"153777","77°2.47'W","38°55.17'N","18-Oct-82","transect"
"80727","77°2.98'W","38°56.29'N","20-Oct-82","transect4"
"29672","77°1.69'W","38°57.07'N","26-Oct-82","Transect"
"122386","77°3.47'W","38°55.65'N","30-Oct-82","Transect1"
"180865","77°1.82'W","38°54.75'N","01-Nov-82","transect"
"107746","77°2.97'W","38°55.87'N","04-Nov-82","transect"
"22488","77°2.39'W","38°57.18'N","05-Nov-82","transect"
"43705","77°3.44'W","38°56.86'N","06-Nov-82","transect"
"132848","77°3.15'W","38°55.49'N","06-Nov-82","transect"
"161932","77°1.56'W","38°55.04'N","14-Nov-82","transect4"
"67708","77°0.61'W","38°56.49'N","17-Nov-82","TRANSECT"
"127861","77°1.03'W","38°55.57'N","18-Nov-82","Transect1"
"110790","77°1.1'W","38°55.83'N","26-Nov-82","second_transect"
"170061","77°0.9'W","38°54.92'N","05-Dec-82","TRANSECT"
"24569","77°0.66'W","38°57.15'N","16-Dec-82","transect"
"46569","77°3.26'W","38°56.81'N","23-Dec-82","transects"
"193301","77°0.77'W","38°54.56'N","25-Dec-82","transect1"
"75454","77°3.53'W","38°56.37'N","26-Dec-82","transect"
"206091","77°0.84'W","38°54.37'N","04-Jan-83","transects"
"99433","77°0.02'W","38°57.38'N","16-Jan-83","Transect5"
"12895","77°3.44'W","38°57.33'N","20-Jan-83","second_transect"
"102489","77°3.37'W","38°55.95'N","20-Jan-83","transect"
"211114","77°2.63'W","38°54.29'N","25-Jan-83","transect"
"59172","77°0.65'W","38°56.62'N","31-Jan-83","transect"
"203033","77°2.84'W","38°54.41'N","01-Feb-83","transect"
"182143","77°3.16'W","38°54.73'N","04-Feb-83","transect1"
"108604","77°3.81'W","38°55.86'N","10-Feb-83","transect"
"109087","77°3.72'W","38°55.85'N","11-Feb-83","Transect4"
"207307","77°2.77'W","38°54.35'N","17-Feb-83","transect4"
"49795","77°4.12'W","38°56.76'N","06-Mar-83","transect"
"86383","77°3.27'W","38°56.2'N","08-Mar-83","transect4"
"24337","77°2.83'W","38°57.15'N","11-Mar-83","transect4"
"53027","77°0.49'W","38°56.72'N","28-Mar-83","transect4"
"209078","77°3.94'W","38°54.32'N","30-Mar-83","transect"
"122998","77°2.18'W","38°55.64'N","05-Apr-83","Transect3"
"62341","77°2.04'W","38°56.57'N","12-Apr-83","transect1"
"28333","77°0.92'W","38°57.1'N","01-May-83","transect"
"88977","77°1.18'W","38°56.16'N","04-May-83","transect "
"203574","77°2.22'W","38°54.4'N","10-May-83","transects"
"68760","77°4.07'W","38°56.47'N","16-May-83","transect3"
"91435","77°0.36'W","38°56.13'N","28-May-83","transect4"
"12705","77°0.79'W","38°57.34'N","06-Jun-83","transect"
"71779","77°2.43'W","38°56.43'N","11-Jun-83","Transect"
"140028","77°2.5'W","38°55.38'N","13-Jun-83","thirdtransect"
"109485","77°0'W","38°55.85'N","14-Jun-83","transect_2"
"23731","77°4.06'W","38°57.16'N","17-Jun-83","transect"
"124589","77°0.6'W","38°55.62'N","24-Jun-83","transect"
"43755","77°2.98'W","38°56.86'N","29-Jun-83","transect"
"207316","77°2.69'W","38°54.35'N","03-Jul-83","transect"
"125105","77°0.21'W","38°55.61'N","05-Jul-83","Transect5"
"59231","77°0.1'W","38°56.62'N","10-Jul-83","transect"
"5827","77°3.05'W","38°57.44'N","20-Jul-83","transect"
"190753","77°2.43'W","38°54.6'N","07-Aug-83","Transect5"
"91368","77°0.98'W","38°56.13'N","08-Aug-83","transect"
"107011","77°1.8'W","38°57.36'N","09-Aug-83","transect4"
"114456","77°2.27'W","38°55.77'N","28-Aug-83","transect"
"73846","77°0.83'W","38°56.4'N","30-Aug-83","Transect2"
"46478","77°4.11'W","38°56.81'N","01-Sep-83","transect"
"111201","77°1.69'W","38°55.82'N","05-Sep-83","Transect"
"136095","77°3.82'W","38°55.44'N","09-Sep-83","transect"
"198862","77°1.96'W","38°54.48'N","10-Sep-83","first_transect"
"217180","77°3.53'W","38°54.19'N","12-Sep-83","transect"
"145128","77°3.56'W","38°55.3'N","14-Sep-83","transect1"
"106205","77°4.08'W","38°55.9'N","15-Sep-83","transect"
"46767","77°1.4'W","38°56.81'N","16-Sep-83","transect"
"16308","77°2.55'W","38°57.28'N","07-Oct-83","transect"
"85978","77°2.63'W","38°56.21'N","08-Oct-83","transect"
"51545","77°1.05'W","38°56.74'N","09-Oct-83","second_transect"
"184297","77°0.75'W","38°54.7'N","21-Oct-83","transect"
"135318","77°2.22'W","38°55.45'N","30-Oct-83","Transect"
"179866","77°2.29'W","38°54.77'N","04-Nov-83","transect"
"137489","77°4.08'W","38°55.42'N","15-Nov-83","transect"
"22282","77°1.25'W","38°57.5'N","27-Nov-83","transect"
"58312","77°4.26'W","38°56.63'N","04-Dec-83","transect"
"75518","77°2.93'W","38°56.37'N","05-Dec-83","transect"
"167246","77°0.63'W","38°54.96'N","14-Dec-83","transect"
"6175","77°4.23'W","38°57.43'N","15-Dec-83","transect"
"61600","77°0.11'W","38°56.59'N","17-Dec-83","Transect1"
"109968","76°59.92'W","38°55.84'N","23-Dec-83","transect_2"
"35001","77°0.62'W","38°56.99'N","26-Dec-83","Transect5"
"118142","77°3.27'W","38°55.71'N","28-Dec-83","transects"
"68205","77°0.39'W","38°56.49'N","29-Dec-83","transect"
"145382","77°1.19'W","38°55.3'N","04-Jan-84","transect"
"14004","77°1.94'W","38°57.31'N","11-Jan-84","transects"
"106970","77°1.36'W","38°55.89'N","20-Jan-84","transect1"
"125540","77°0.57'W","38°55.6'N","27-Jan-84","transect"
"206468","77°1.75'W","38°54.36'N","28-Jan-84","transect"
"56384","77°0.12'W","38°56.67'N","01-Feb-84","transect"
"15152","77°0.07'W","38°57.3'N","05-Feb-84","transect"
"64038","77°3.9'W","38°56.54'N","16-Feb-84","transect"
"116049","77°0.68'W","38°55.75'N","20-Feb-84","transect"
"81176","77°3.21'W","38°56.28'N","21-Feb-84","Transect4"
"122787","77°4.15'W","38°55.64'N","26-Feb-84","transect"
"55292","77°1.47'W","38°56.68'N","04-Mar-84","transect3"
"27603","77°3.31'W","38°57.1'N","06-Mar-84","Transect2"
"133193","76°59.93'W","38°55.49'N","17-Mar-84","transect"
"38770","77°0.83'W","38°56.94'N","23-Mar-84","transect"
"91623","77°3.03'W","38°56.12'N","25-Mar-84","transect"
"112702","77°0.95'W","38°55.8'N","27-Mar-84","transect"
"137890","77°0.33'W","38°55.42'N","07-Apr-84","transect"
"77957","77°2.28'W","38°56.33'N","13-Apr-84","transect"
"33056","77°1.08'W","38°57.02'N","21-Apr-84","transect "
"159730","76°59.99'W","38°55.08'N","23-Apr-84","transects"
"206095","77°0.81'W","38°54.37'N","28-Apr-84","Transect2"
"58985","77°2.4'W","38°56.62'N","02-May-84","Transect4"
"152984","77°1.02'W","38°55.18'N","16-May-84","transect"
"41800","77°3.53'W","38°56.88'N","19-May-84","Transect3"
"83023","77°3.67'W","38°56.25'N","20-May-84","transect4"
"161078","77°0.68'W","38°55.06'N","26-May-84","transect"
"33007","77°1.54'W","38°57.02'N","28-May-84","transect"
"19925","77°4.19'W","38°57.22'N","31-May-84","transect"
"146798","77°1.25'W","38°55.28'N","05-Jun-84","Transect"
"177802","77°3.86'W","38°54.8'N","12-Jun-84","Transect5"
"21891","77°3.54'W","38°57.19'N","28-Jun-84","Transect3"
"108605","77°3.8'W","38°55.86'N","29-Jun-84","transect"
"119880","77°0.31'W","38°55.69'N","30-Jun-84","transect"
"162175","77°3.72'W","38°55.04'N","09-Jul-84","Transect3"
"200903","77°0.6'W","38°54.45'N","11-Jul-84","transect"
"167580","77°1.94'W","38°54.96'N","14-Jul-84","transect"
